work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2023,EX,FT,Data Science Director,212000,USD,212000,United States,No Remote Work,United States,M
2023,EX,FT,Data Science Director,190000,USD,190000,United States,No Remote Work,United States,M
2023,MI,FT,Business Intelligence Engineer,35000,GBP,43064,United Kingdom,No Remote Work,United Kingdom,M
2023,MI,FT,Business Intelligence Engineer,35000,GBP,43064,United Kingdom,No Remote Work,United Kingdom,M
2023,SE,FT,Machine Learning Engineer,245700,USD,245700,United States,No Remote Work,United States,M
2023,SE,FT,Machine Learning Engineer,132300,USD,132300,United States,No Remote Work,United States,M
2023,MI,FT,Data Specialist,90000,USD,90000,United States,No Remote Work,United States,M
2023,MI,FT,Data Specialist,80000,USD,80000,United States,No Remote Work,United States,M
2023,SE,FT,Machine Learning Engineer,212000,USD,212000,United States,No Remote Work,United States,M
2023,SE,FT,Machine Learning Engineer,93300,USD,93300,United States,No Remote Work,United States,M
2023,MI,FT,Data Scientist,212000,USD,212000,United States,No Remote Work,United States,M
2023,MI,FT,Data Scientist,93300,USD,93300,United States,No Remote Work,United States,M
2023,SE,FT,ML Engineer,276000,USD,276000,United States,No Remote Work,United States,M
2023,SE,FT,ML Engineer,174000,USD,174000,United States,No Remote Work,United States,M
2023,MI,FT,Data Engineer,133000,USD,133000,United States,No Remote Work,United States,M
2023,MI,FT,Data Engineer,58300,USD,58300,United States,No Remote Work,United States,M
2023,SE,FT,Data Analyst,145640,USD,145640,United States,No Remote Work,United States,M
2023,SE,FT,Data Analyst,84400,USD,84400,United States,No Remote Work,United States,M
2023,SE,FT,Data Engineer,300000,USD,300000,United States,Fully Remote,United States,M
2023,SE,FT,Data Engineer,195000,USD,195000,United States,Fully Remote,United States,M
2023,SE,FT,Data Architect,190000,USD,190000,Canada,Fully Remote,Canada,M
2023,SE,FT,Data Architect,107500,USD,107500,Canada,Fully Remote,Canada,M
2023,SE,FT,Data Analyst,105000,USD,105000,United States,No Remote Work,United States,M
2023,SE,FT,Data Analyst,75000,USD,75000,United States,No Remote Work,United States,M
2023,SE,FT,Data Analyst,140000,USD,140000,United States,Fully Remote,United States,M
2023,SE,FT,Data Analyst,98000,USD,98000,United States,Fully Remote,United States,M
2023,SE,FT,Machine Learning Engineer,204500,USD,204500,United States,No Remote Work,United States,M
2023,SE,FT,Machine Learning Engineer,142200,USD,142200,United States,No Remote Work,United States,M
2023,SE,FT,Data Scientist,236160,USD,236160,United States,Fully Remote,United States,M
2023,SE,FT,Data Scientist,159408,USD,159408,United States,Fully Remote,United States,M
2023,SE,FT,Data Analyst,115000,USD,115000,United States,Fully Remote,United States,M
2023,SE,FT,Data Analyst,85000,USD,85000,United States,Fully Remote,United States,M
2023,SE,FT,Data Product Manager,145000,USD,145000,United States,No Remote Work,United States,M
2023,SE,FT,Data Product Manager,120000,USD,120000,United States,No Remote Work,United States,M
2023,SE,FT,Data Analyst,120350,USD,120350,United States,Fully Remote,United States,M
2023,SE,FT,Data Analyst,74400,USD,74400,United States,Fully Remote,United States,M
2023,SE,FT,Data Analyst,158494,USD,158494,United States,Fully Remote,United States,M
2023,SE,FT,Data Analyst,88052,USD,88052,United States,Fully Remote,United States,M
2023,SE,FT,Analytics Engineer,181500,USD,181500,United States,No Remote Work,United States,M
2023,SE,FT,Analytics Engineer,127000,USD,127000,United States,No Remote Work,United States,M
2023,MI,FT,Machine Learning Engineer,300000,USD,300000,United States,No Remote Work,United States,M
2023,MI,FT,Machine Learning Engineer,260000,USD,260000,United States,No Remote Work,United States,M
2023,SE,FT,Data Scientist,258000,USD,258000,United States,No Remote Work,United States,M
2023,SE,FT,Data Scientist,171000,USD,171000,United States,No Remote Work,United States,M
2023,EN,FL,Business Intelligence Consultant,500000,GBP,615201,India,Fully Remote,India,S
2023,EN,FT,BI Data Analyst,25000,USD,25000,Ukraine,Fully Remote,Netherlands,M
2023,SE,FT,Data Scientist,200000,USD,200000,United States,No Remote Work,United States,M
2023,SE,FT,Data Scientist,150000,USD,150000,United States,No Remote Work,United States,M
2023,SE,FT,Machine Learning Engineer,225300,USD,225300,United States,No Remote Work,United States,M
2023,SE,FT,Machine Learning Engineer,197400,USD,197400,United States,No Remote Work,United States,M
2023,SE,FT,Data Engineer,205500,USD,205500,United States,No Remote Work,United States,M
2023,SE,FT,Data Engineer,128500,USD,128500,United States,No Remote Work,United States,M
2023,SE,FT,Data Architect,191600,USD,191600,United States,No Remote Work,United States,M
2023,SE,FT,Data Architect,125600,USD,125600,United States,No Remote Work,United States,M
2023,SE,FT,Machine Learning Engineer,245700,USD,245700,United States,No Remote Work,United States,M
2023,SE,FT,Machine Learning Engineer,132300,USD,132300,United States,No Remote Work,United States,M
2023,MI,FT,Data Scientist,130410,USD,130410,United States,No Remote Work,United States,M
2023,MI,FT,Data Scientist,92000,USD,92000,United States,No Remote Work,United States,M
